frame_nmr,track_id,plate_bbox,det_conf,license_number,license_number_score,ocr_conf,vehicle_type,layout,raw_ocr
190,2,"1,367,125,474",0.939138,39-B1 1925,7.793629,0.957452,motorbike,2,39-81|L925
190,3,"382,430,479,528",0.916683,23L-7355,7.802953,0.921181,car,2,23-L|7355
191,2,"1,363,118,473",0.930782,,0.0,0.0,,0,
191,3,"376,428,478,526",0.920655,,0.0,0.0,,0,
192,2,"1,361,111,471",0.92759,98T-1925,6.564609,0.545844,car,2,9-8T|L9.25
192,3,"368,423,478,523",0.92255,,0.0,0.0,,0,
193,2,"1,359,104,467",0.925879,,0.0,0.0,,0,
193,3,"361,420,479,521",0.922681,,0.0,0.0,,0,
194,3,"356,419,478,518",0.924513,29-L1 739.56,9.26734,0.826936,motorbike,2,29-LI|739.56
194,2,"0,353,98,465",0.921449,,0.0,0.0,,0,
195,3,"351,415,477,517",0.930285,,0.0,0.0,,0,
195,2,"0,349,91,463",0.920304,,0.0,0.0,,0,
196,3,"346,415,472,513",0.931266,49U-739.56,9.034086,0.613634,car,2,49-U|739.56
196,2,"1,349,83,460",0.921989,,0.0,0.0,,0,
197,3,"340,413,465,510",0.933066,,0.0,0.0,,0,
197,2,"0,349,77,457",0.927388,,0.0,0.0,,0,
198,3,"335,411,459,506",0.924296,29Z-739.56,9.401102,0.880441,car,2,29-2|739.56
198,2,"1,344,71,455",0.924079,,0.0,0.0,,0,
199,3,"328,406,454,505",0.925016,,0.0,0.0,,0,
199,2,"0,340,64,453",0.920113,,0.0,0.0,,0,
200,3,"321,404,449,502",0.928975,29L-739.56,9.874952,0.949981,car,2,29-L|739.56
200,2,"0,343,60,449",0.916017,,0.0,0.0,,0,
201,3,"316,401,443,499",0.924219,,0.0,0.0,,0,
201,2,"0,347,52,448",0.868989,,0.0,0.0,,0,
202,3,"311,400,435,496",0.924406,29L-239.56,9.82901,0.931604,car,2,29-L|239.56
202,2,"0,344,47,446",0.631617,,0.0,0.0,,0,
203,3,"308,398,431,494",0.928366,,0.0,0.0,,0,
204,3,"300,396,425,492",0.931848,,0.0,0.0,,0,
205,3,"294,393,422,491",0.925541,,0.0,0.0,,0,
206,3,"289,391,416,488",0.925656,29-L1 139.56,9.461597,0.784639,motorbike,2,29-L1|139.56
207,3,"286,389,411,486",0.927228,,0.0,0.0,,0,
208,3,"278,385,406,486",0.92784,,0.0,0.0,,0,
209,3,"271,383,401,484",0.924588,,0.0,0.0,,0,
210,3,"266,383,394,482",0.927718,,0.0,0.0,,0,
211,3,"259,382,388,481",0.928234,,0.0,0.0,,0,
212,3,"252,379,381,482",0.927936,29L-239.56,9.678331,0.871333,car,2,29-L|239.56
213,3,"248,378,376,480",0.925097,,0.0,0.0,,0,
214,3,"239,376,369,480",0.927143,,0.0,0.0,,0,
215,3,"232,374,361,478",0.929276,,0.0,0.0,,0,
216,3,"223,375,354,478",0.923679,,0.0,0.0,,0,
217,3,"212,378,349,477",0.920859,,0.0,0.0,,0,
218,3,"203,378,340,477",0.912257,,0.0,0.0,,0,
219,3,"192,378,331,476",0.87591,,0.0,0.0,,0,
220,3,"185,373,317,474",0.930198,29L-239.56,9.354882,0.741953,car,2,29-L|23956
221,3,"177,370,309,473",0.933254,,0.0,0.0,,0,
222,3,"168,366,303,472",0.935441,29-U1 239.56,9.643925,0.85757,motorbike,2,29-U1|239.56
223,3,"158,363,296,470",0.931117,,0.0,0.0,,0,
224,3,"148,362,290,469",0.930766,29L-739.56,9.434659,0.773864,car,2,29-L|73956
225,3,"140,361,280,468",0.927686,,0.0,0.0,,0,
226,3,"131,360,273,467",0.928795,,0.0,0.0,,0,
227,3,"122,361,266,467",0.92835,,0.0,0.0,,0,
227,4,"461,162,479,200",0.250608,,0.0,0.0,,0,
228,3,"117,360,259,467",0.933329,29-L1 739.56,9.68054,0.872216,motorbike,2,29-L1|739.56
228,4,"457,160,479,201",0.158727,,0.0,0.0,,0,
229,3,"111,361,252,468",0.931974,,0.0,0.0,,0,
230,3,"107,363,244,469",0.932765,29-L1 739.56,9.952747,0.981099,motorbike,2,29-L1|73956
231,3,"99,363,239,470",0.927783,,0.0,0.0,,0,
232,3,"95,363,235,471",0.931439,,0.0,0.0,,0,
233,3,"90,364,231,471",0.931993,,0.0,0.0,,0,
234,3,"87,364,228,471",0.931635,,0.0,0.0,,0,
235,3,"83,365,225,471",0.933759,,0.0,0.0,,0,
236,3,"80,366,222,472",0.934834,29-L1 239.56,9.757775,0.90311,motorbike,2,29-L1|239.56
236,5,"439,438,480,535",0.785347,,0.0,0.0,,0,
237,3,"78,366,219,472",0.933015,,0.0,0.0,,0,
237,5,"437,440,480,536",0.834822,,0.0,0.0,,0,
238,3,"76,366,218,472",0.931575,29-L1 739.56,9.529842,0.811937,motorbike,2,29-L1|739.56
238,5,"437,442,480,540",0.863151,,0.0,0.0,,0,
239,3,"74,366,217,472",0.933557,,0.0,0.0,,0,
239,5,"437,444,480,543",0.856889,,0.0,0.0,,0,
240,3,"74,366,217,472",0.933686,29-L1 739.56,9.977564,0.991026,motorbike,2,29-L1|73956
240,5,"438,445,479,544",0.871101,,0.0,0.0,,0,
241,3,"77,366,218,471",0.934996,,0.0,0.0,,0,
241,5,"439,449,480,545",0.807568,,0.0,0.0,,0,
242,3,"77,366,220,471",0.935383,29-L1 739.56,9.726907,0.890763,motorbike,2,29-L1|739.56
243,3,"78,366,222,470",0.935096,,0.0,0.0,,0,
244,3,"80,366,223,470",0.930505,29L-739.56,9.727684,0.891074,car,2,29-L|739.56
245,3,"82,365,227,471",0.932538,,0.0,0.0,,0,
246,3,"87,366,231,471",0.935623,29-L1 139.56,9.400166,0.880066,motorbike,2,29-LI|139.56
247,3,"90,366,233,470",0.931503,,0.0,0.0,,0,
248,3,"93,366,237,470",0.932166,29-L1 139.56,9.953147,0.981259,motorbike,2,29-L1|139.56
249,3,"98,368,241,471",0.935364,,0.0,0.0,,0,
250,3,"99,368,245,472",0.936382,29-L1 139.56,9.713346,0.885338,motorbike,2,29-L1|139.56
251,3,"103,369,248,473",0.930685,,0.0,0.0,,0,
252,3,"105,369,251,474",0.930074,29-L1 139.56,9.823966,0.929586,motorbike,2,29-L1|139.56
253,3,"108,371,252,474",0.934935,,0.0,0.0,,0,
254,3,"111,375,253,477",0.931071,29-L1 239.56,9.76173,0.904692,motorbike,2,29-L1|239.56
255,3,"114,376,253,477",0.93327,,0.0,0.0,,0,
256,3,"116,377,254,479",0.933087,29-L1 739.56,9.731595,0.892638,motorbike,2,29-L1|739.56
257,3,"116,378,255,482",0.930829,,0.0,0.0,,0,
258,3,"117,379,258,482",0.931791,29-L1 739.56,9.772856,0.909142,motorbike,2,29-L1|739.56
259,3,"117,379,258,484",0.92994,,0.0,0.0,,0,
260,3,"117,380,257,486",0.93211,29-L1 739.56,9.972997,0.989199,motorbike,2,29L1|739.56
261,3,"117,381,256,486",0.930954,,0.0,0.0,,0,
262,3,"115,380,256,486",0.930924,29-L1 239.56,9.734706,0.893882,motorbike,2,29-L1|239.56
263,3,"114,380,254,486",0.931395,,0.0,0.0,,0,
264,3,"112,381,253,486",0.931194,29-L1 739.56,9.537311,0.814924,motorbike,2,29-L1|739.56
265,3,"110,380,251,487",0.933076,,0.0,0.0,,0,
266,3,"108,380,250,488",0.934458,29-L1 739.56,9.828337,0.931335,motorbike,2,29-L1|739.56
267,3,"105,379,247,488",0.93555,,0.0,0.0,,0,
268,3,"103,378,244,488",0.932951,29L-139.56,9.897892,0.959157,car,2,29-L|139.56
269,3,"100,378,243,488",0.929778,,0.0,0.0,,0,
270,3,"95,375,239,486",0.931085,29L-739.56,9.991426,0.99657,car,2,29-L|739.56
271,3,"89,372,236,484",0.930727,,0.0,0.0,,0,
272,3,"86,370,233,483",0.928069,29L-239.56,9.943214,0.977286,car,2,29-L|239.56
273,3,"85,368,230,480",0.932539,,0.0,0.0,,0,
274,3,"82,365,228,477",0.93216,,0.0,0.0,,0,
275,3,"78,362,222,473",0.932232,,0.0,0.0,,0,
276,3,"74,359,218,472",0.93341,,0.0,0.0,,0,
277,3,"67,355,213,470",0.933517,,0.0,0.0,,0,
277,6,"425,516,480,622",0.757145,,0.0,0.0,,0,
278,3,"61,351,210,466",0.926229,,0.0,0.0,,0,
278,6,"432,513,480,620",0.68778,,0.0,0.0,,0,
